state_fips,state_abbr,zcta,house_district
01,AL,35613,05
01,AL,35614,05
01,AL,35615,05
01,AL,35616,04
01,AL,35618,04
01,AL,35619,04
01,AL,35619,05
01,AL,35620,05
01,AL,35621,04
01,AL,35621,05
01,AL,35622,04
01,AL,35622,05
01,AL,35630,05
01,AL,35633,05
01,AL,35634,05
01,AL,35640,05
01,AL,35643,04
01,AL,35645,05
01,AL,35646,04
01,AL,35647,05
01,AL,35648,05
01,AL,35649,05
01,AL,35650,04
01,AL,35651,04
01,AL,35652,05
01,AL,35653,04
01,AL,35654,04
01,AL,35660,04
01,AL,35661,04
01,AL,35670,05
01,AL,35671,05
01,AL,35672,04
01,AL,35673,04
01,AL,35673,05
01,AL,35674,04
01,AL,35677,05
01,AL,35739,05
01,AL,35740,05
01,AL,35741,05
01,AL,35744,05
01,AL,35745,05
01,AL,35746,05
01,AL,35747,04
01,AL,35748,05
01,AL,35749,05
01,AL,35750,05
01,AL,35751,05
01,AL,35752,05
01,AL,35754,04
01,AL,35754,05
01,AL,35755,04
01,AL,35755,05
01,AL,35756,05
01,AL,35757,05
01,AL,35758,05
01,AL,35759,05
01,AL,35760,04
01,AL,35760,05
01,AL,35761,05
01,AL,35763,05
01,AL,35764,05
01,AL,35765,04
01,AL,35765,05
01,AL,35766,05
01,AL,35768,05
01,AL,35769,04
01,AL,35769,05
01,AL,35771,04
01,AL,35771,05
01,AL,35772,05
01,AL,35773,05
01,AL,35774,05
01,AL,35775,05
01,AL,35776,04
01,AL,35776,05
01,AL,35801,05
01,AL,35802,05
01,AL,35803,05
01,AL,35805,05
01,AL,35806,05
01,AL,35808,05
01,AL,35810,05
01,AL,35811,05
01,AL,35816,05
01,AL,35824,05
01,AL,35896,05
01,AL,35901,03
01,AL,35901,04
01,AL,35903,03
01,AL,35903,04
01,AL,35904,04
01,AL,35905,03
01,AL,35905,04
01,AL,35906,04
01,AL,35907,04
01,AL,35950,04
01,AL,35951,04
01,AL,35952,04
01,AL,35952,06
01,AL,35953,03
01,AL,35954,04
01,AL,35956,04
01,AL,35957,04
01,AL,35958,05
01,AL,35959,03
01,AL,35960,03
01,AL,35961,03
01,AL,35961,04
01,AL,35962,04
01,AL,35963,04
01,AL,35966,04
01,AL,35966,05
01,AL,35967,03
01,AL,35967,04
01,AL,35968,04
01,AL,35971,04
01,AL,35972,03
01,AL,35972,04
01,AL,35973,03
01,AL,35973,04
01,AL,35974,04
01,AL,35975,04
01,AL,35976,04
01,AL,35978,04
01,AL,35978,05
01,AL,35979,04
01,AL,35979,05
01,AL,35980,04
01,AL,35980,06
01,AL,35981,04
01,AL,35983,03
01,AL,35984,04
01,AL,35986,04
01,AL,35987,03
01,AL,35988,04
01,AL,35989,04
01,AL,35990,04
01,AL,36003,02
01,AL,36005,02
01,AL,36006,02
01,AL,36006,06
01,AL,36009,02
01,AL,36010,02
01,AL,36013,03
01,AL,36016,02
01,AL,36017,02
01,AL,36020,02
01,AL,36022,02
01,AL,36024,02
01,AL,36025,02
01,AL,36026,02
01,AL,36026,06
01,AL,36027,02
01,AL,36027,03
01,AL,36028,02
01,AL,36029,02
01,AL,36029,03
01,AL,36030,02
01,AL,36031,03
01,AL,36032,02
01,AL,36032,07
01,AL,36033,01
01,AL,36033,02
01,AL,36034,02
01,AL,36035,02
01,AL,36036,02
01,AL,36037,02
01,AL,36038,02
01,AL,36039,03
01,AL,36040,07
01,AL,36041,02
01,AL,36042,02
01,AL,36043,02
01,AL,36043,07
01,AL,36046,02
01,AL,36047,02
01,AL,36047,07
01,AL,36048,02
01,AL,36049,02
01,AL,36051,02
01,AL,36051,06
01,AL,36052,02
01,AL,36052,03
01,AL,36053,02
01,AL,36054,02
01,AL,36064,02
01,AL,36064,03
01,AL,36066,02
01,AL,36067,02
01,AL,36069,02
01,AL,36071,02
01,AL,36075,03
01,AL,36078,02
01,AL,36078,03
01,AL,36079,02
01,AL,36080,02
01,AL,36080,06
01,AL,36081,02
01,AL,36082,02
01,AL,36083,03
01,AL,36088,03
01,AL,36089,02
01,AL,36089,03
01,AL,36091,02
01,AL,36091,06
01,AL,36092,02
01,AL,36093,02
01,AL,36104,02
01,AL,36104,07
01,AL,36105,02
01,AL,36105,07
01,AL,36106,02
01,AL,36106,07
01,AL,36107,02
01,AL,36108,02
01,AL,36108,07
01,AL,36109,02
01,AL,36110,02
01,AL,36111,02
01,AL,36112,02
01,AL,36113,02
01,AL,36113,07
01,AL,36115,02
01,AL,36116,02
01,AL,36116,03
01,AL,36116,07
01,AL,36117,02
01,AL,36117,03
01,AL,36201,03
01,AL,36203,03
01,AL,36205,03
01,AL,36206,03
01,AL,36207,03
01,AL,36250,03
01,AL,36251,03
01,AL,36255,03
01,AL,36256,03
01,AL,36258,03
01,AL,36260,03
01,AL,36262,03
01,AL,36263,03
01,AL,36264,03
01,AL,36265,03
01,AL,36266,03
01,AL,36267,03
01,AL,36268,03
01,AL,36269,03
01,AL,36271,03
01,AL,36272,03
01,AL,36272,04
01,AL,36273,03
01,AL,36274,03
01,AL,36276,03
01,AL,36277,03
01,AL,36278,03
01,AL,36279,03
01,AL,36280,03
01,AL,36301,02
01,AL,36303,02
01,AL,36305,02
01,AL,36310,02
01,AL,36311,02
01,AL,36312,02
01,AL,36313,02
01,AL,36314,02
01,AL,36316,02
01,AL,36317,02
01,AL,36318,02
01,AL,36319,02
01,AL,36320,02
01,AL,36321,02
01,AL,36322,02
01,AL,36323,02
01,AL,36330,02
01,AL,36340,02
01,AL,36343,02
01,AL,36344,02
01,AL,36345,02
01,AL,36346,02
01,AL,36350,02
01,AL,36351,02
01,AL,36352,02
01,AL,36353,02
01,AL,36360,02
01,AL,36362,02
01,AL,36370,02
01,AL,36371,02
01,AL,36373,02
01,AL,36374,02
01,AL,36375,02
01,AL,36376,02
01,AL,36401,01
01,AL,36401,02
01,AL,36420,01
01,AL,36420,02
01,AL,36421,02
01,AL,36425,01
01,AL,36426,01
01,AL,36426,02
01,AL,36432,01
01,AL,36432,02
01,AL,36435,07
01,AL,36436,07
01,AL,36439,01
01,AL,36441,01
01,AL,36442,02
01,AL,36444,01
01,AL,36445,01
01,AL,36446,07
01,AL,36451,01
01,AL,36451,07
01,AL,36453,02
01,AL,36454,02
01,AL,36455,02
01,AL,36456,02
01,AL,36460,01
01,AL,36460,02
01,AL,36467,02
01,AL,36470,01
01,AL,36471,01
01,AL,36471,02
01,AL,36473,02
01,AL,36474,02
01,AL,36475,01
01,AL,36475,02
01,AL,36476,02
01,AL,36477,02
01,AL,36480,01
01,AL,36481,01
01,AL,36481,07
01,AL,36482,01
01,AL,36482,07
01,AL,36483,01
01,AL,36483,02
01,AL,36502,01
01,AL,36502,02
01,AL,36505,01
01,AL,36507,01
01,AL,36509,01
01,AL,36511,01
01,AL,36512,01
01,AL,36513,01
01,AL,36518,01
01,AL,36521,01
01,AL,36522,01
01,AL,36523,01
01,AL,36524,07
01,AL,36525,01
01,AL,36526,01
01,AL,36527,01
01,AL,36528,01
01,AL,36529,01
01,AL,36530,01
01,AL,36532,01
01,AL,36535,01
01,AL,36538,01
01,AL,36539,01
01,AL,36540,07
01,AL,36541,01
